id,name,campaign_id,adset_id,status,effective_status,created_time,updated_time,format,headline,primary_text,description,CTA,destination,url_tags,form_version,experiment_cell,creative_variant,image,creative_id,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,campaign_label,operating_window,campaign_spend_share_pct,set_spend_share_pct,completion_evidence,measurement_flags,level,adset_name,campaign_name,days_live_observed_delivery_through_Sep18,first_observed_delivery_day,last_observed_delivery_day,ever_delivered_asof_Sep19,Sep19_partial_spend,Sep19_partial_impressions,image_url,meta_actions_unreconciled,meta_conversions_unreconciled,review_feedback
120251081896740660,CT User Video Carryover | 120251073616100660,120251080550020660,120251080551580660,ACTIVE,ACTIVE,2026-09-13T00:12:32-0400,2026-09-13T00:44:32-0400,static image,Customer asking for a COI?,Send us the insurance requirements for your next remodeling job. We’ll help you compare coverage and get an insurance quote.,,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=coi,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__coi__{step|long}__v1 (layout assigned at visit),,images/30768d4487b8edd2.jpg,1088034296971640,6.47,25,1,258.8,4.0,6.47,0,0,0,1,,,,Remodeling / GC,2026-09-13 to 2026-09-18,0.33,100.0,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__coi,CT Themes 20260913 | remodel,2,2026-09-13,2026-09-14,True,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/30768d4487b8edd2.jpg,"[{""action_type"": ""link_click"", ""value"": ""1""}, {""action_type"": ""landing_page_view"", ""value"": ""1""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""1""}, {""action_type"": ""post_engagement"", ""value"": ""1""}, {""action_type"": ""page_engagement"", ""value"": ""1""}]",[],{}
120251081993520660,CT User Video Carryover | 120251073615690660,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-13T00:23:17-0400,2026-09-13T00:44:34-0400,static image,Remodelers do more than one trade.,"Tell us your mix of carpentry, drywall, flooring and subcontracted work. We’ll shop general liability for your remodeling business. Get a quote and compare your rate.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/1d153f6ac063dfe5.jpg,2168396027445331,1302.74,31364,185,41.54,0.59,7.04,18,18,26,179,72.37,72.37,50.11,Remodeling / GC,2026-09-13 to 2026-09-18,66.14,75.51,Confirmed completed intake,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,6,2026-09-13,2026-09-18,True,16.12,410,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/1d153f6ac063dfe5.jpg,"[{""action_type"": ""link_click"", ""value"": ""185""}, {""action_type"": ""post_reaction"", ""value"": ""10""}, {""action_type"": ""landing_page_view"", ""value"": ""174""}, {""action_type"": ""onsite_web_lead"", ""value"": ""20""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""174""}, {""action_type"": ""post_engagement"", ""value"": ""196""}, {""action_type"": ""post_interaction_gross"", ""value"": ""11""}, {""action_type"": ""page_engagement"", ""value"": ""196""}, {""action_type"": ""post_interaction_net"", ""value"": ""11""}, {""action_type"": ""onsite_conversion.post_save"", ""value"": ""1""}, {""action_type"": ""onsite_conversion.post_net_save"", ""value"": ""1""}, {""action_type"": ""onsite_conversion.post_net_like"", ""value"": ""10""}, {""action_type"": ""lead"", ""value"": ""20""}, {""action_type"": ""offsite_conversion.fb_pixel_lead"", ""value"": ""20""}, {""action_type"": ""offsite_lead_add_20_s_calls"", ""value"": ""20""}]",[],{}
120251161811400660,CT CPC 20260917 | remodel-subs,120251080550020660,120251080558200660,PAUSED,PAUSED,2026-09-17T13:22:30-0400,2026-09-19T14:06:45-0400,static image,Remodelers: check subcontracted work,Remodeling contractors: hiring subs does not answer what your own liability policy covers. Tell us which work you subcontract and get your business insurance reviewed before renewal.,,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/1d153f6ac063dfe5.jpg,1106763585197988,392.66,6819,32,57.58,0.469,12.27,3,3,6,37,130.89,130.89,65.44,Remodeling / GC,2026-09-13 to 2026-09-18,19.93,22.76,Confirmed completed intake,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,2,2026-09-17,2026-09-18,True,113.71,2017,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/1d153f6ac063dfe5.jpg,"[{""action_type"": ""link_click"", ""value"": ""32""}, {""action_type"": ""post_reaction"", ""value"": ""1""}, {""action_type"": ""landing_page_view"", ""value"": ""31""}, {""action_type"": ""onsite_web_lead"", ""value"": ""7""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""31""}, {""action_type"": ""post_engagement"", ""value"": ""33""}, {""action_type"": ""post_interaction_gross"", ""value"": ""1""}, {""action_type"": ""page_engagement"", ""value"": ""33""}, {""action_type"": ""post_interaction_net"", ""value"": ""1""}, {""action_type"": ""onsite_conversion.post_net_like"", ""value"": ""1""}, {""action_type"": ""lead"", ""value"": ""7""}, {""action_type"": ""offsite_conversion.fb_pixel_lead"", ""value"": ""7""}, {""action_type"": ""offsite_lead_add_20_s_calls"", ""value"": ""7""}]",[],{}
120251170084450660,CT Object 20260918 | retro_ad-obligation-remodel,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-18T01:48:59-0400,2026-09-18T01:51:34-0400,static image,Get ready for the next job,"Remodeling contractors: The job needs proof of insurance.
Send the insurance requirements when you request your quote.
Request an insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/cbba9d731b00d2f8.jpg,1619074353056870,24.96,374,3,66.74,0.802,8.32,0,0,0,1,,,,Remodeling / GC,2026-09-13 to 2026-09-18,1.27,1.45,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,1,2026-09-18,2026-09-18,True,9.1,155,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/cbba9d731b00d2f8.jpg,"[{""action_type"": ""link_click"", ""value"": ""3""}, {""action_type"": ""post_reaction"", ""value"": ""1""}, {""action_type"": ""landing_page_view"", ""value"": ""2""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""2""}, {""action_type"": ""post_engagement"", ""value"": ""4""}, {""action_type"": ""post_interaction_gross"", ""value"": ""1""}, {""action_type"": ""page_engagement"", ""value"": ""4""}, {""action_type"": ""post_interaction_net"", ""value"": ""1""}, {""action_type"": ""onsite_conversion.post_net_like"", ""value"": ""1""}]",[],{}
120251169612410660,CT Factorial 20260918 | flowchart-percent_saved-remodel,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-18T01:02:05-0400,2026-09-18T01:04:48-0400,static image,Compare before your renewal,"A $2M revenue contractor got covered for $4K - 57% below their prior premium
Get a quote now before your next renewal",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/f6decad57f265ff9.jpg,3440952539420907,3.21,12,0,267.5,0.0,,0,0,0,0,,,,Remodeling / GC,2026-09-13 to 2026-09-18,0.16,0.19,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,1,2026-09-18,2026-09-18,True,0.19,5,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/f6decad57f265ff9.jpg,[],[],{}
120251170042860660,CT Object 20260918 | iphone_notes-percent_saved-remodel,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-18T01:45:12-0400,2026-09-18T01:50:10-0400,static image,Compare before your renewal,"A $2M revenue contractor got covered for $4K - 57% below their prior premium
Get a quote now before your next renewal",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/bf07b791f073e96b.jpg,3082984865436621,0.48,7,0,68.57,0.0,,0,0,0,0,,,,Remodeling / GC,2026-09-13 to 2026-09-18,0.02,0.03,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,1,2026-09-18,2026-09-18,True,0.04,2,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/bf07b791f073e96b.jpg,[],[],{}
120251170113270660,CT Object 20260918 | hardhat_sticker-renewal-remodel,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-18T01:51:30-0400,2026-09-18T01:55:18-0400,static image,Before your next renewal,"Remodeling contractors: GL RENEWAL, 14 DAYS
Compare before your renewal becomes the deadline.
Request an insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/c331b433bd02ed54.jpg,1130516339304487,0.44,4,0,110.0,0.0,,0,0,0,0,,,,Remodeling / GC,2026-09-13 to 2026-09-18,0.02,0.03,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,1,2026-09-18,2026-09-18,True,0.04,2,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/c331b433bd02ed54.jpg,[],[],{}
120251182360990660,CT Native Voice 20260918 | remodel-rate_creep,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-18T17:38:13-0400,2026-09-18T17:41:41-0400,static image,Insurance for remodeling,"if my remodeling insurance renewal comes back higher when i've had no claims, i'm not treating the new price as a done deal.

that's my cue to compare before renewal. not after the payment goes out.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/f5499a77f8ce64bf.jpg,2600294883763963,0.23,9,0,25.56,0.0,,0,0,0,0,,,,Remodeling / GC,2026-09-13 to 2026-09-18,0.01,0.01,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,1,2026-09-18,2026-09-18,True,1.72,27,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/f5499a77f8ce64bf.jpg,[],[],{}
120251170074400660,CT Object 20260918 | legal_pad-savings_framing-remodel,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-18T01:47:42-0400,2026-09-18T01:56:07-0400,static image,Compare before renewing,"Remodeling contractors: What could you keep at renewal?
Compare your premium and the coverage behind it.
Request an insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/6427fa45be6d66d9.jpg,2089094771725938,0.17,2,0,85.0,0.0,,0,0,0,0,,,,Remodeling / GC,2026-09-13 to 2026-09-18,0.01,0.01,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,1,2026-09-18,2026-09-18,True,0.13,2,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/6427fa45be6d66d9.jpg,[],[],{}
120251182353790660,CT Native Voice 20260918 | remodel-coverage_gap,120251080550020660,120251080558200660,ACTIVE,ACTIVE,2026-09-18T17:37:49-0400,2026-09-18T17:42:37-0400,static image,Insurance for remodeling,"note to self between remodel jobs: my tools being in the van doesn't put theft under general liability.

tools and equipment cover is a separate thing. so is knowing whether i actually have it.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=remodel&angle=trade_mix,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,remodel__trade_mix__{step|long}__v1 (layout assigned at visit),,images/0791c0d55fcd84d3.jpg,1118693904088617,0.12,6,0,20.0,0.0,,0,0,0,0,,,,Remodeling / GC,2026-09-13 to 2026-09-18,0.01,0.01,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | remodel__work,CT Themes 20260913 | remodel,1,2026-09-18,2026-09-18,True,1.23,31,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/0791c0d55fcd84d3.jpg,[],[],{}
